name,address,latitude,longitude,rating,types
,,,,4.4,"restaurant, food, point_of_interest, establishment"
,,,,4.1,"restaurant, brunch_restaurant, breakfast_restaurant, food, point_of_interest, establishment"
,,,,4.8,"restaurant, food, point_of_interest, establishment"
,,,,5,"american_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.8,"restaurant, point_of_interest, food, establishment"
,,,,4.1,"coffee_shop, internet_cafe, breakfast_restaurant, cafe, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,4.1,"mexican_restaurant, brunch_restaurant, catering_service, fast_food_restaurant, food_delivery, american_restaurant, food_store, bar_and_grill, restaurant, bar, point_of_interest, food, store, establishment"
,,,,4.2,"restaurant, point_of_interest, food, establishment"
,,,,,"pizza_restaurant, restaurant, point_of_interest, food, establishment"
,,,,3.9,"chinese_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,3.8,"greek_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.1,"pizza_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.1,"sandwich_shop, restaurant, point_of_interest, food, establishment"
,,,,4.3,"pizza_restaurant, meal_takeaway, restaurant, point_of_interest, food, establishment"
,,,,4.2,"meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,3.8,"coffee_shop, bagel_shop, donut_shop, fast_food_restaurant, meal_takeaway, breakfast_restaurant, bakery, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4.4,"american_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.2,"event_venue, catering_service, night_club, food_delivery, bar, american_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.7,"bakery, donut_shop, breakfast_restaurant, dessert_shop, confectionery, italian_restaurant, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4.6,"sushi_restaurant, japanese_restaurant, bar, restaurant, point_of_interest, food, establishment"
,,,,4.6,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.4,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.6,"restaurant, point_of_interest, food, establishment"
,,,,3.9,"american_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4,"pizza_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.1,"pizza_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.3,"pizza_restaurant, meal_delivery, food_delivery, sandwich_shop, hamburger_restaurant, american_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.3,"pizza_restaurant, meal_delivery, food_delivery, italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.3,"diner, breakfast_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"restaurant, diner, food, point_of_interest, establishment"
,,,,4.6,"italian_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.6,"italian_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.5,"chinese_restaurant, meal_delivery, food_delivery, restaurant, food, point_of_interest, establishment"
,,,,4.3,"pizza_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.5,"chinese_restaurant, asian_restaurant, meal_delivery, food_delivery, restaurant, wholesaler, food, point_of_interest, establishment"
,,,,4.4,"sushi_restaurant, asian_restaurant, japanese_restaurant, bar, restaurant, food, point_of_interest, establishment"
,,,,4,"italian_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.5,"restaurant, food, point_of_interest, establishment"
,,,,4,"pizza_restaurant, meal_delivery, food_delivery, restaurant, food, point_of_interest, establishment"
,,,,5,"bar_and_grill, bar, restaurant, point_of_interest, food, establishment"
,,,,4.6,"pizza_restaurant, meal_delivery, food_delivery, italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"seafood_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.9,"restaurant, japanese_restaurant, point_of_interest, food, establishment"
,,,,4.5,"vietnamese_restaurant, meal_delivery, food_delivery, asian_restaurant, meal_takeaway, restaurant, point_of_interest, food, establishment"
,,,,4.7,"indian_restaurant, vegan_restaurant, vegetarian_restaurant, thai_restaurant, restaurant, point_of_interest, food, establishment"
,,,,3.9,"coffee_shop, bagel_shop, donut_shop, fast_food_restaurant, meal_takeaway, breakfast_restaurant, bakery, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4.5,"marina, playground, meal_takeaway, park, sports_club, storage, store, restaurant, point_of_interest, food, establishment"
,,,,4.5,"bar, restaurant, food, point_of_interest, establishment"
,,,,4.4,"pizza_restaurant, meal_takeaway, restaurant, point_of_interest, food, establishment"
,,,,4.9,"meal_takeaway, american_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"banquet_hall, brunch_restaurant, bed_and_breakfast, inn, catering_service, wedding_venue, food_delivery, hotel, event_venue, lodging, restaurant, point_of_interest, food, establishment"
,,,,3.9,"coffee_shop, bagel_shop, donut_shop, fast_food_restaurant, meal_takeaway, breakfast_restaurant, bakery, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4,"diner, restaurant, point_of_interest, food, establishment"
,,,,4.5,"italian_restaurant, pizza_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.7,"grocery_store, food_store, store, point_of_interest, food, establishment"
,,,,4.4,"japanese_restaurant, sushi_restaurant, meal_delivery, food_delivery, asian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.1,"pizza_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.2,"chinese_restaurant, meal_delivery, food_delivery, asian_restaurant, meal_takeaway, restaurant, point_of_interest, food, establishment"
,,,,4.3,"pizza_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.2,"bagel_shop, deli, bakery, food_store, store, point_of_interest, food, establishment"
,,,,4.3,"pizza_restaurant, meal_delivery, food_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment"
,,,,3.9,"coffee_shop, bagel_shop, donut_shop, fast_food_restaurant, meal_takeaway, breakfast_restaurant, bakery, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4.6,"pizza_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,3.4,"chinese_restaurant, catering_service, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,2.5,"restaurant, point_of_interest, food, establishment"
,,,,4.8,"playground, tea_house, meal_takeaway, restaurant, point_of_interest, food, establishment"
,,,,4.3,"restaurant, point_of_interest, food, establishment"
,,,,4.1,"chinese_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.1,"pizza_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.4,"sushi_restaurant, japanese_restaurant, restaurant, point_of_interest, food, establishment"
,,,,5,"restaurant, food, point_of_interest, establishment"
,,,,4.9,"italian_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.3,"restaurant, food, point_of_interest, establishment"
,,,,4.4,"pub, bar_and_grill, bar, restaurant, food, point_of_interest, establishment"
,,,,4.8,"ramen_restaurant, japanese_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.4,"restaurant, food, point_of_interest, establishment"
,,,,4.9,"restaurant, food, point_of_interest, establishment"
,,,,4.2,"bar, restaurant, food, point_of_interest, establishment"
,,,,4.3,"pizza_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.5,"pizza_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.2,"japanese_restaurant, sushi_restaurant, asian_restaurant, meal_delivery, food_delivery, restaurant, food, point_of_interest, establishment"
,,,,4.2,"pizza_restaurant, meal_delivery, food_delivery, restaurant, food, point_of_interest, establishment"
,,,,4.2,"middle_eastern_restaurant, mediterranean_restaurant, cafe, restaurant, food, point_of_interest, establishment"
,,,,3.8,"sushi_restaurant, asian_restaurant, meal_delivery, food_delivery, japanese_restaurant, restaurant, food, point_of_interest, establishment"
,,,,3.7,"restaurant, food, point_of_interest, establishment"
,,,,3.5,"chinese_restaurant, meal_takeaway, restaurant, food, point_of_interest, establishment"
,,,,4.6,"pizza_restaurant, meal_delivery, food_delivery, italian_restaurant, restaurant, food, point_of_interest, establishment"
,,,,3.7,"fast_food_restaurant, hamburger_restaurant, american_restaurant, restaurant, food, point_of_interest, establishment"
,,,,3.5,"restaurant, fast_food_restaurant, food, point_of_interest, establishment"
,,,,4.1,"mexican_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,5,"restaurant, point_of_interest, food, establishment"
,,,,4.6,"italian_restaurant, fine_dining_restaurant, restaurant, bar, point_of_interest, food, establishment"
,,,,4.3,"mexican_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.8,"turkish_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.9,"restaurant, sushi_restaurant, japanese_restaurant, bar, point_of_interest, food, establishment"
,,,,4.5,"pizza_restaurant, meal_takeaway, italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,5,"restaurant, point_of_interest, food, establishment"
,,,,4.3,"spanish_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.7,"restaurant, point_of_interest, food, establishment"
,,,,4.7,"sushi_restaurant, night_club, japanese_restaurant, bar_and_grill, restaurant, bar, point_of_interest, food, establishment"
,,,,4.5,"pizza_restaurant, catering_service, meal_takeaway, meal_delivery, food_delivery, italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.1,"mexican_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.6,"sandwich_shop, restaurant, point_of_interest, food, establishment"
,,,,4.4,"bar_and_grill, restaurant, bar, point_of_interest, food, establishment"
,,,,4.1,"pizza_restaurant, meal_delivery, food_delivery, italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.6,"pizza_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.4,"chinese_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.8,"sandwich_shop, restaurant, point_of_interest, food, establishment"
,,,,4.5,"italian_restaurant, bar, restaurant, point_of_interest, food, establishment"
,,,,4.4,"seafood_restaurant, banquet_hall, catering_service, food_delivery, italian_restaurant, bar, event_venue, american_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.6,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.6,"restaurant, point_of_interest, food, establishment"
,,,,4.8,"hamburger_restaurant, american_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.2,"restaurant, gift_shop, point_of_interest, food, store, establishment"
,,,,,"cafeteria, restaurant, food, point_of_interest, establishment"
,,,,3.9,"chinese_restaurant, restaurant, food, point_of_interest, establishment"
,,,,3.9,"chinese_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.9,"pizza_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.5,"pizza_restaurant, meal_delivery, food_delivery, italian_restaurant, meal_takeaway, restaurant, food_store, food, point_of_interest, store, establishment"
,,,,3.9,"gas_station, convenience_store, restaurant, food_store, food, point_of_interest, store, establishment"
,,,,4.3,"pizza_restaurant, meal_delivery, food_delivery, restaurant, food, point_of_interest, establishment"
,,,,4.1,"coffee_shop, bagel_shop, fast_food_restaurant, cafe, donut_shop, breakfast_restaurant, meal_takeaway, bakery, restaurant, food_store, food, point_of_interest, store, establishment"
,,,,4.1,"diner, breakfast_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"turkish_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.4,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.9,"japanese_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.8,"japanese_restaurant, barbecue_area, sushi_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.2,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.2,"pizza_restaurant, sandwich_shop, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.4,"donut_shop, breakfast_restaurant, dessert_shop, confectionery, bakery, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,3.8,"fast_food_restaurant, hamburger_restaurant, coffee_shop, sandwich_shop, breakfast_restaurant, cafe, american_restaurant, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,4.4,"restaurant, point_of_interest, food, establishment"
,,,,3.5,"coffee_shop, fast_food_restaurant, bagel_shop, breakfast_restaurant, meal_takeaway, cafe, donut_shop, bakery, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,4,"chinese_restaurant, asian_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,3.9,"pizza_restaurant, meal_delivery, food_delivery, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,,"american_restaurant, restaurant, food, point_of_interest, establishment"
,,,,4.5,"mexican_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"pizza_restaurant, meal_delivery, food_delivery, italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4,"pizza_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.4,"sushi_restaurant, japanese_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.1,"coffee_shop, bagel_shop, donut_shop, fast_food_restaurant, meal_takeaway, breakfast_restaurant, bakery, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,3.3,"coffee_shop, bagel_shop, donut_shop, fast_food_restaurant, meal_takeaway, breakfast_restaurant, bakery, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4.3,"diner, breakfast_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.4,"chinese_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4,"barbecue_area, meal_delivery, food_delivery, sandwich_shop, restaurant, point_of_interest, food, establishment"
,,,,3.7,"chinese_restaurant, thai_restaurant, asian_restaurant, meal_takeaway, restaurant, point_of_interest, food, establishment"
,,,,1.9,"coffee_shop, internet_cafe, breakfast_restaurant, cafe, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,4.2,"mexican_restaurant, brunch_restaurant, catering_service, fast_food_restaurant, food_delivery, american_restaurant, food_store, bar_and_grill, restaurant, bar, point_of_interest, food, store, establishment"
,,,,5,"fast_food_restaurant, restaurant, food, point_of_interest, establishment"
